French,English,afin de rester compétitifs,in order to remain competitive,,,,,,,,52
French,English,Ils ont été contraints de revoir entièrement leur stratégie,They were forced to completely revise their strategy,,,,,,,,76
French,English,identité et la quête de soi.,identity and the quest for self.,,,,,,,,
French,English,en raison d’un désaccord majeur entre les deux parties.,due to a major disagreement between the two parties.,,,,,,,,
French,English,elle a su faire preuve de persévérance et de sang-froid,she was able to demonstrate perseverance and composure,,,,,,,,
French,English,Malgré les difficultés rencontrées,Despite the difficulties encountered,,,,,,,,
French,English,nous aurions eu besoin de des balises,we would have needed tags,,,,,,,,
French,English,ils ont été rassemblés,they were gathered,,,,,,,,
French,English,et puis tout à la fin,and then right at the end,,,,,,,,
French,English,qui est bel et bien injecté,which is indeed injected,,,,,,,,
French,English,Utiliser Webpack via la ligne de commande,Using Webpack via the command line,,,,,,,,
French,English,nous la ferons,we will do it,,,,,,,,
French,English,je vais devoir importer,I will have to import,,,,,,,,
French,English,voilà comment ça va se passer,this is how it will happen,,,,,,,,
French,English,il ne reste plus qu'à les configurer,all that remains is to configure them,,,,,,,,
French,English,on n'en a plus besoin,we don't need it anymore,,,,,,,,
French,English,dont nous aurons besoin,which we will need,,,,,,,,
French,English,entretiennent entre eux,maintain among themselves,,,,,,,,
French,English,comme attendu,as expected,,,,,,,,
French,English,qu'en est-il de tous les autres paquets,what about all the other packages,,,,,,,,
French,English,on va retrouver les paquets,we will find the packages,,,,,,,,
French,English,à quoi cette option fait référence,what this option refers to,,,,,,,,
French,English,j'appuie sur la touche Enter,I press the Enter key,,,,,,,,
English,Italian,there is,c'è,,,,,,,,
English,Italian,there are,ci sono,,,,,,,,
French,English,je vais rajouter une petite option,I will add a small option,,,,,,,,
French,English,il ne nous reste plus qu'à initialiser notre application,all we have to do now is initialize our application,,,,,,,,
French,English,de la colonne de côté,from the side column,,,,,,,,
French,English,que j'ai créé précédemment,that I created previously,,,,,,,,
English,Italian,I analyze the code now,Analizzo il codice ora,,,,,,,,
English,Italian,I will make a branch now,Farò un ramo adesso,,,,,,,,
English,Italian,it was important to check the site again,era importante controllare di nuovo il sito,,,,,,,,
English,Italian,that is the most important thing,questa è la cosa più importante,,,,,,,,
French,English,pour y créer un nouveau dossier,to create a new folder there,,,,,,,,
French,English,une fois que c'est fait,once it's done,,,,,,,,
Italian,English,segnando una svolta verso architetture moderne,marking a turning point towards modern architecture,,,,,,,,
Italian,English,con una frase per versione come descrizione,with one sentence per version as description,,,,,,,,
Italian,English,scrivi una storia delle versioni di webpack,write a webpack version history,,,,,,,,
English,Italian,It's possible that we will go below eight,È possibile che scenderemo sotto gli otto,,,,,,,,
French,English,pour que tout cela prenne effet,for all this to take effect,,,,,,,,
French,English,cela se révélera pratique,this will prove useful,,,,,,,,
French,English,dans la partie inférieure de l'écran,in the lower part of the screen,,,,,,,,
French,English,mais ce n'est pas tout,but that's not all,,,,,,,,
French,English,avec lequel tu es habitué,with which you are accustomed,,,,,,,,
English,Italian,there are some aspects of grammar I need to learn,ci sono alcuni aspetti della grammatica che devo imparare,,,,,,,,
English,Italian,that I improve my skills,che io migliori le mie competenze,,,,,,,,
French,English,fera l'affaire,will do the trick,,,,,,,,
English,Italian,you should enjoy the situation,dovresti goderti la situazione,,,,,,,,
English,Italian,maybe we can finish the course,forse possiamo finire il corso,,,,,,,,
English,Italian,we need to maximize how much we take,dobbiamo massimizzare la quantità che prendiamo,,,,,,,,
English,Italian,I hope they come soon,Spero che arrivino presto,,,,,,,,
English,Italian,you have to go all out,devi dare il massimo,,,,,,,,
English,Italian,I am recording French as well as Italian,Sto registrando sia il francese che l'italiano,,,,,,,,
English,Italian,we have to make today a day of learning,dobbiamo fare di oggi un giorno di apprendimento,,,,,,,,
French,English,dans la même ordre d'idées,in the same vein,,,,,,,,
French,English,et bien qu'aucune connaissance ne soit requise,and although no knowledge is required,,,,,,,,
French,English,cela va de paire avec une bonne connaissance,This goes hand in hand with good knowledge,,,,,,,,
French,English,de la bande passante,bandwidth,,,,,,,,
French,English,pour la mise en production,for production,,,,,,,,
French,English,à partir de tous vos modules,from all your modules,,,,,,,,
French,English,comme étant un module,as a module,,,,,,,,
French,English,cela peut vite devenir un vrai cauchemar,it can quickly become a real nightmare,,,,,,,,
English,Italian,I will quickly check it,Lo controllerò velocemente,,,,,,,,
English,Italian,you can't forget this,non puoi dimenticarlo,,,,,,,,
English,Italian,I like fruit,Mi piace la frutta,,,,,,,,
English,Italian,I sprinkle oats on my fruit,Cospargo l'avena sulla mia frutta,,,,,,,,
Italian,English,la stesura,the drafting,,,,,,,,
Italian,English,escono,they go out,,,,,,,,
Italian,English,esci,you go out,,,,,,,,
Italian,English,esco,I go out,,,,,,,,
Italian,English,sbaglia spesso e continua a ripetere lo stesso errore,he makes mistakes often and keeps repeating the same mistake,,,,,,,,
Italian,English,Ci vediamo spesso allo stesso bar vicino all'università,We often see each other at the same bar near the university,,,,,,,,
Italian,English,Spesso penso alle stesse domande senza trovare una risposta,I often think about the same questions without finding an answer,,,,,,,,
English,Italian,I say to myself often,Mi dico spesso,,,,,,,,
Italian,English,"lo schizzo, S, C, H","the sketch, S, C, H",,,,,,,,
Italian,English,Vuoi che cerchi anche corrispondenze parziali,Do you want me to also search for partial matches?,,,,,,,,
Italian,English,Se vuoi contare quante volte appare la parola,If you want to count how many times the word appears,,,,,,,,
Italian,English,"Puoi anche riferirti a una cella, ad esempio","You can also refer to a cell, for example",,,,,,,,
