Spanish,English,Tengo muchos esta vez,I have many this time
English,Spanish,"in mind, in my head","en mi mente, en mi cabeza"
English,Spanish,it is time to get up,Es hora de levantarse
English,Dutch,it is time to get up,Het is tijd om op te staan.
German,Dutch,"a good book, a good dog","een goed boek, een goede hond"
German,Dutch,ich lese das jetzt,Ik ben dit nu aan het lezen.
English,Dutch,i read it three times,Ik heb het drie keer gelezen.
English,Dutch,"good book, good dog","goed boek, goede hond"
English,Dutch,"the good book, the good dog","het goede boek, de goede hond"
Dutch,English,Niemand deed me pijn.,Nobody hurt me.
English,Dutch,she is in front of me,ze staat voor mij
English,Dutch,she is behind me,ze staat achter mij
English,Dutch,we are,wij zijn
English,Dutch,i have my keys,Ik heb mijn sleutels.
English,Dutch,study grammar,grammatica bestuderen
English,Dutch,it is not as important as,het is niet zo belangrijk als
English,Spanish,the soup is tasty,la sopa es sabrosa
English,Spanish,coffee is a nice drink,El café es una bebida agradable
English,Spanish,"eventually, we will have options on the home page",Eventualmente tendremos opciones en la página de inicio.
English,Spanish,to start,Para empezar
English,Spanish,it is important to regularly and consistently study grammar,Es importante estudiar gramática de forma regular y constante.
English,Spanish,I don't think I will ever see it,No creo que lo vea nunca
Spanish,English,se estrena,premieres
English,Spanish,there is not a big difference,No hay una gran diferencia
English,Spanish,it will be easier,Será más fácil
English,Spanish,"after you get started, it is easier","Una vez que empiezas, es más fácil."
English,Spanish,I want to program applications,Quiero programar aplicaciones
English,Spanish,I want to develop software,Quiero desarrollar software
Spanish,English,casi lo dije completamente correcto,I almost said it completely correctly.
English,Spanish,"in order to speak correctly, you need to know grammar","Para hablar correctamente, necesitas saber gramática."
Spanish,English,no escuchamos ciertas canciones,We don't listen to certain songs
English,Spanish,it was simpler than I thought,Fue más sencillo de lo que pensaba
English,Spanish,it was easier than I thought,Fue más fácil de lo que pensaba
English,Dutch,and now we will switch to Spanish,En nu schakelen we over naar het Spaans.
Spanish,English,te cuento,I'll tell you
Dutch,English,alen volledig in het Spaans schrijven om te oefenen,write completely in Spanish to practice
Dutch,English,met hernieuwde vastberadenheid,with renewed determination
Dutch,English,Ik had gelijk toen ik besloot om systematischer te studeren,I was right when I decided to study more systematically
Dutch,English,Dat zijn de juiste woorden die ik moet onthouden.,Those are the right words for me to remember.
Dutch,English,zei,said
Dutch,English,negeren,to ignore
English,Spanish,I start now,Empiezo ahora
English,Spanish,"sorry, I forgot I wanted to start with Dutch","Lo siento, olvidé que quería empezar con holandés."
English,Spanish,it is correct,es correcto
English,Spanish,because I want to get finished,Porque quiero terminar
English,Spanish,but let me continue again,pero déjame continuar de nuevo
English,Spanish,I think I need a new computer,Creo que necesito una computadora nueva
English,Spanish,"yes, that is true","Sí, eso es cierto"
English,Spanish,not always but maybe one can say often,"No siempre, pero quizá se podría decir a menudo."
English,Spanish,I study,Yo estudio
English,Spanish,but now I continue,pero ahora sigo
English,Spanish,I think I left the record button on,Creo que dejé el botón de grabar activado
English,Spanish,I think this sentence is true,Creo que esta frase es cierta
English,Spanish,I find,yo encuentro
English,Spanish,I have been learning Spanish again for three months,Llevo tres meses aprendiendo español de nuevo.
English,Dutch,that was correct what I said,Dat klopte wat ik zei.
English,Dutch,it is a difficult word,Het is een moeilijk woord.
English,Dutch,those two versions are useful for the future,Die twee versies zijn nuttig voor de toekomst.
English,Dutch,they don't deviate that much from the correct versions,Ze wijken niet zo veel af van de correcte versies.
Dutch,English,ze weken niet zo veel af van de correcte versies,they didn't deviate that much from the correct versions
English,Dutch,the words that I chose were not that far off the correct versions,"De woorden die ik koos, weken niet zo veel af van de correcte versies."
English,Dutch,but I want to build quizzes into my site to practice,Maar ik wil quizzen op mijn site bouwen om te oefenen.
English,Dutch,the sentence,de zin
