French,English,déplacer des cellules en les prenants et en les plaçant,move cells by picking and placing them
French,English,pour ne pas vous cramer la rétine,so as not to burn your retina
French,English,je vais me mettre en mode sombre,I'm going to put myself in dark mode
French,English,ce qu'on va faire,what we are going to do
French,English,aléatoirement,randomly
French,English,on va passer par une façon un peu détournée,we will go through a somewhat roundabout way
French,English,on appuie sur entrée,we press enter
French,English,"dans ce cas-ci, on met un tiret","in this case, we put a dash"
French,English,j'attends que l'installation se déroule,I'm waiting for the installation to complete
French,English,"en un seul mot, sans tiret, donc tout collé","in one word, without a hyphen, so everything stuck together"
French,English,si je mets mon curseur,if I put my cursor
English,Italian,which is better: git checkout or git switch,qual è meglio: git checkout o git switch
English,Italian,which is better,che è meglio
French,English,pour que tout soit bien pris en compte,so that everything is taken into account
French,English,donc ne vous en faites pas,so don't worry about it
Italian,English,è una semplice scorciatoia,it's a simple shortcut
Italian,English,Hai ragione a notare questo dettaglio,You are right to notice this detail
English,Italian,does it make sense to do this,ha senso fare questo?
English,Italian,a small pip package that starts with a for a test,un piccolo pacchetto pip che inizia con a per un test
Italian,English,Vedrai qualcosa tipo,You will see something like
Italian,English,è un po' fuorviante,it's a bit misleading
Italian,English,nella maggior parte dei casi,in most cases
English,Italian,as the rate goes up and down,mentre il tasso sale e scende
Italian,English,in altre parole,in other words
Italian,English,ancora una volta,once again
English,Italian,I will be able to speak,Potrò parlare
Italian,English,a un certo punto,at a certain point
Italian,English,questo è ciò a cui,this is what it is about
Italian,English,quindi possiamo premere maiusc e invio,then we can press shift and enter
Italian,English,quindi possiamo premere invio,then we can press enter
Italian,English,"Ho visto quegli zaini nuovi in vetrina, mi sembrano costosi","I saw those new backpacks in the window, they look expensive to me"
Italian,English,non avranno più quegli spazi extra,they will no longer have those extra spaces
Italian,English,nel nostro caso qui,in our case here
Italian,English,Ho dato il libro a loro,I gave the book to them
Italian,English,Ho letto i libri e la trama di essi mi ha colpito,I read the books and the plot of them struck me.
Italian,English,legata all’uso grammaticale,linked to grammatical use
Italian,English,di essi,of them
Italian,English,oltre a cambiarli tutti in minuscolo,besides changing them all to lowercase
Italian,English,"a mio parere, sarebbe molto meglio","in my opinion, it would be much better"
Italian,English,a mio parere,in my opinion
Italian,English,possono essere usati ovunque tu possa eseguire codice Python,They can be used anywhere you can run Python code
English,Italian,can I use a dataframe outside of a Jupyter Notebook,posso usare un dataframe al di fuori di un Jupyter Notebook?
Italian,English,un po' più eccitante,a little more exciting
Italian,English,C-S-V,C-S-V
Italian,English,come caricare i dati,how to upload data
English,Italian,what does df stand for?,cosa significa df?
Italian,English,si desideri assegnarlo,you want to assign it
Italian,English,per i tuoi scopi,for your purposes
Italian,English,tutte le righe qui,all lines here
Italian,English,qui sotto,below
Italian,English,che vogliamo caricare,that we want to upload
Italian,English,se stai lavorando con,if you are working with
Italian,English,capirai cosa intendo tra un minuto,you'll understand what I mean in a minute
Italian,English,lo trascinerò,I'll drag it
Italian,English,"quello che faremo, primo di tutto","what we will do, first of all"
Italian,English,con ovviamente alcune lievi variazioni,with obviously some slight variations
Italian,English,per ovvie ragioni,for obvious reasons
Italian,English,sorta di albero dei file,sort of file tree
Italian,English,come appaiono queste cose,what these things look like
Italian,English,che non vuoi più in giro,that you don't want around anymore
Italian,English,frecce,arrows
Italian,English,premendo invio,pressing enter
Italian,English,tutto ciò che abbiamo fatto,everything we've done
English,Italian,how is the company Anaconda related to Python,in che modo l'azienda Anaconda è correlata a Python
Italian,English,ci sono pro e contro per ognuna di queste cose,There are pros and cons to each of these things
Italian,English,e così via,and so on
Italian,English,ora la nostra terza impresa,now our third venture
Italian,English,ed è molto divertente lavorarci,and it's a lot of fun to work on
Italian,English,vi aspetta davvero una sorpresa,a real surprise awaits you
Italian,English,solo in modo che tu sappia cosa imparerai,just so you know what you're going to learn
Italian,English,solo in modo che,just so that
Italian,English,nemmeno,neither
Italian,English,è nemmeno un segreto che,It's not even a secret that
Italian,English,vuoi assicurarti che pip agisca sulla versione corretta,you want to make sure pip is acting on the correct version
Italian,English,consente di specificare la versione di Python da usare,allows you to specify the version of Python to use
